iter	Logloss
0	0.6879759745
1	0.6838672467
2	0.6786700515
3	0.673360746
4	0.6697510351
5	0.6645742927
6	0.6608843621
7	0.6567646905
8	0.6528702916
9	0.6483040665
10	0.6435750503
11	0.6399933034
12	0.6352389853
13	0.6311713664
14	0.6270263783
15	0.6223234253
16	0.6187159056
17	0.6143165794
18	0.6105358843
19	0.6062170247
20	0.6033561407
21	0.6000929246
22	0.596143465
23	0.5924645731
24	0.5885048613
25	0.5853542145
26	0.5813257129
27	0.5775391377
28	0.5737778225
29	0.5703642613
30	0.5675326757
31	0.5636308253
32	0.5602156896
33	0.5574173675
34	0.5537602112
35	0.5503387589
36	0.5470504301
37	0.5446576241
38	0.5417934688
39	0.5381734845
40	0.535050122
41	0.5319099131
42	0.5285833967
43	0.5259579877
44	0.5231994596
45	0.5201114976
46	0.5174946194
47	0.5143309428
48	0.5120078587
49	0.5100372036
50	0.5071992989
51	0.5048417192
52	0.502429773
53	0.4992742737
54	0.4961964522
55	0.4936791588
56	0.4908970342
57	0.4880296868
58	0.4859752484
59	0.4838609806
60	0.4809545188
61	0.4783915155
62	0.4764891343
63	0.4748959868
64	0.4726051572
65	0.4706530215
66	0.4691347656
67	0.4670359475
68	0.4647039911
69	0.4624722056
70	0.4602981128
71	0.4582456128
72	0.4562698566
73	0.454068106
74	0.4524792789
75	0.4502813096
76	0.4479501384
77	0.4459910854
78	0.443991608
79	0.4422851647
80	0.4405769483
81	0.4395483058
82	0.4381767204
83	0.4362682135
84	0.434194253
85	0.4316869667
86	0.4298246485
87	0.4285556172
88	0.4269091387
89	0.4246251692
90	0.4237500574
91	0.4219972129
92	0.4206339028
93	0.419237448
94	0.4172237393
95	0.4154658217
96	0.4141752211
97	0.4124316624
98	0.410558305
99	0.4083335692
100	0.4064877185
101	0.4047895591
102	0.4032250614
103	0.4010678049
104	0.3994016875
105	0.3982750731
106	0.3964111328
107	0.395011482
108	0.3937326329
109	0.3923344776
110	0.3911165112
111	0.3895911733
112	0.3876602569
113	0.3858160426
114	0.3850655418
115	0.3831790983
116	0.382008239
117	0.3805394532
118	0.3788353835
119	0.3775240565
120	0.375720111
121	0.373972911
122	0.3725458566
123	0.3712571517
124	0.3695985428
125	0.3677032074
126	0.3666204237
127	0.3654718425
128	0.3642896113
129	0.3626926416
130	0.3612575082
131	0.3599977138
132	0.3585961637
133	0.3571764248
134	0.3560168016
135	0.3544913763
136	0.3531547445
137	0.351704223
138	0.350680956
139	0.3491926317
140	0.3489788995
141	0.3475756548
142	0.3462569258
143	0.3453411892
144	0.344164565
145	0.3434412616
146	0.3418567309
147	0.3409612387
148	0.3398448934
149	0.3384149521
150	0.3376973714
151	0.3369080079
152	0.3361259604
153	0.3353942008
154	0.3344539217
155	0.3335398864
156	0.3326843665
157	0.3315444623
158	0.3308215675
159	0.3300221863
160	0.3293070353
161	0.3283771725
162	0.3272913096
163	0.3262133596
164	0.3250782702
165	0.3240782388
166	0.3228124317
167	0.3215797989
168	0.3206746601
169	0.3198599316
170	0.318864919
171	0.3179886398
172	0.3169280363
173	0.315844382
174	0.3155662087
175	0.3146765317
176	0.3134598455
177	0.3122030571
178	0.3112781795
179	0.3106137159
180	0.3098236198
181	0.3090025888
182	0.3087949863
183	0.3077006806
184	0.3069979331
185	0.3061489792
186	0.305271372
187	0.3043649865
188	0.303178015
189	0.3021624615
190	0.3015603954
191	0.3005833616
192	0.2996706243
193	0.2991720312
194	0.29830372
195	0.2974749418
196	0.2970732737
197	0.2960884924
198	0.2951313372
199	0.2941964398
200	0.2933983607
201	0.2929646064
202	0.292286905
203	0.2912482849
204	0.2903536175
205	0.289562509
206	0.2887344346
207	0.2882271481
208	0.2872574894
209	0.2862353556
210	0.2853967297
211	0.2845017478
212	0.2838459547
213	0.2829479408
214	0.2823272834
215	0.2814875069
216	0.281134785
217	0.280173623
218	0.2794663631
219	0.2788290734
220	0.2784638703
221	0.2774382291
222	0.2770193274
223	0.2764237117
224	0.2754785779
225	0.2748064011
226	0.2741461465
227	0.2736019798
228	0.2727232816
229	0.2718924667
230	0.2715545592
231	0.2711618011
232	0.27031863
233	0.269742462
234	0.269073102
235	0.2685052646
236	0.2679538506
237	0.2676723329
238	0.2669124934
239	0.266178396
240	0.2653282751
241	0.2648113579
242	0.2642545167
243	0.2634779679
244	0.2631389307
245	0.2626153746
246	0.2620383989
247	0.2613455002
248	0.2605317574
249	0.2600323815
250	0.2594638649
251	0.2586228995
252	0.2577750138
253	0.256924587
254	0.2563535039
255	0.2559579218
256	0.2554323464
257	0.2550731141
258	0.2545923437
259	0.2543808052
260	0.2537012958
261	0.2534850135
262	0.2527696083
263	0.2524670029
264	0.2515846874
265	0.25092745
266	0.2504117562
267	0.2496740724
268	0.2490003183
269	0.2484843629
270	0.2479036299
271	0.2472735555
272	0.2467117087
273	0.2460598027
274	0.2456725342
275	0.2454018978
276	0.2449472589
277	0.2443051971
278	0.2438029765
279	0.2432746226
280	0.2429308041
281	0.2425554669
282	0.2421103328
283	0.241366102
284	0.2409209269
285	0.2405571476
286	0.2402116809
287	0.2398493874
288	0.2394438253
289	0.238913197
290	0.2383084894
291	0.237751165
292	0.2371447039
293	0.2366429121
294	0.2360437498
295	0.2355257522
296	0.2352418274
297	0.2348881701
298	0.2348056758
299	0.2342530113
300	0.2339575023
301	0.2332828466
302	0.2327823717
303	0.2322228301
304	0.2317547962
305	0.2312858153
306	0.2307001202
307	0.2300589896
308	0.2294881613
309	0.229144223
310	0.2284554298
311	0.2280458674
312	0.2273694255
313	0.2269649974
314	0.2268479559
315	0.2263214606
316	0.2257168897
317	0.2252787408
318	0.2246931801
319	0.2240666898
320	0.2237052894
321	0.223170552
322	0.2228737086
323	0.2224210827
324	0.22186273
325	0.2215457425
326	0.2209975629
327	0.2205213954
328	0.2198464543
329	0.2194240211
330	0.2190812254
331	0.218880312
332	0.2184796334
333	0.2179075037
334	0.2172644032
335	0.2168702835
336	0.2165988608
337	0.2161875806
338	0.2157973301
339	0.215381529
340	0.2148054114
341	0.2146118743
342	0.2141049268
343	0.213723339
344	0.2133400538
345	0.2128805232
346	0.212468416
347	0.2122074317
348	0.211879583
349	0.2115250583
350	0.2113585718
351	0.2108154125
352	0.210320517
353	0.2100167936
354	0.2093196024
355	0.2090966114
356	0.2087264864
357	0.2083607391
358	0.2080284405
359	0.207770177
360	0.2075315558
361	0.2071587885
362	0.2066224722
363	0.2061864829
364	0.2059130333
365	0.2056474844
366	0.2053502185
367	0.2050357129
368	0.2048978202
369	0.2044698612
370	0.2039497981
371	0.2036659893
372	0.2033753131
373	0.2030325317
374	0.2026237154
375	0.2022232711
376	0.2019456042
377	0.2015860973
378	0.201563508
379	0.2012592759
380	0.2008378552
381	0.2004602588
382	0.1999219443
383	0.1995508551
384	0.1990455206
385	0.1987890776
386	0.1984877021
387	0.198222941
388	0.1978554554
389	0.1975659263
390	0.1972982374
391	0.1970034183
392	0.1966440015
393	0.1964076204
394	0.195940365
395	0.1956978896
396	0.1954071877
397	0.1950337617
398	0.1946918719
399	0.1944937186
400	0.1943203104
401	0.1939304305
402	0.1936161433
403	0.1933539633
404	0.193025622
405	0.1926831474
406	0.1923933775
407	0.1921962325
408	0.191810087
409	0.1916239293
410	0.1915453395
411	0.1911581218
412	0.191056028
413	0.1905953698
414	0.1901626388
415	0.1897029683
416	0.1895049377
417	0.1894323878
418	0.1891656578
419	0.1888923414
420	0.1884012343
421	0.1881904182
422	0.1878779154
423	0.1876739443
424	0.1874297073
425	0.1870424903
426	0.1867233266
427	0.1863260637
428	0.1858792944
429	0.1856338748
430	0.1853356431
431	0.1851042597
432	0.1847498715
433	0.1846284534
434	0.1842642046
435	0.1838350567
436	0.183462735
437	0.1832134397
438	0.1829022841
439	0.1826328257
440	0.1823188756
441	0.1822917437
442	0.1818851145
443	0.1816532112
444	0.1813380317
445	0.1810354179
446	0.1806881146
447	0.1804575535
448	0.1800170595
449	0.179680078
450	0.1794151593
451	0.1791614985
452	0.178966199
453	0.1786374275
454	0.1784149342
455	0.1782531844
456	0.1779305385
457	0.1776096947
458	0.1773683522
459	0.1769202757
460	0.1765850444
